vsearch v2.22.1_linux_x86_64, 503.7GB RAM, 128 cores
vsearch -fastq_stats trimmed/trimmed.fastq -log stats/stats_results.txt
Started  Wed Apr 16 12:49:55 2025

Read length distribution
      L           N      Pct   AccPct
   74    99.6%  39.1  0.00012  0.000903   0.08   0.001139    0.114%
   75    99.5%  39.3  0.00012  0.000783   0.09   0.001134    0.113%
   76    99.5%  39.4  0.00011  0.000614   0.09   0.001128    0.113%
   77    99.5%  39.6  0.00011  0.000465   0.09   0.001119    0.112%
   78    99.5%  39.4  0.00011  0.000618   0.09   0.001113    0.111%
   79    99.5%  38.9  0.00013  0.000955   0.09   0.001111    0.111%
   80    99.4%  39.6  0.00011  0.000501   0.09   0.001104    0.110%
   81    99.4%  39.6  0.00011  0.000546   0.09   0.001097    0.110%
   82    99.4%  39.7  0.00011  0.000443   0.09   0.001089    0.109%
   83    99.4%  39.3  0.00012  0.006092   0.10   0.001149    0.115%
   84    99.4%  38.8  0.00013  0.006701   0.10   0.001215    0.122%
   85    99.4%  39.0  0.00013  0.006492   0.11   0.001277    0.128%
   86    99.4%  38.5  0.00014  0.008729   0.12   0.001364    0.136%
   87    99.4%  39.1  0.00012  0.005009   0.12   0.001406    0.141%
   88    99.4%  39.2  0.00012  0.007362   0.13   0.001474    0.147%
   89    99.4%  39.5  0.00011  0.001049   0.13   0.001469    0.147%
   90    99.4%  39.6  0.00011  0.000482   0.13   0.001458    0.146%
   91    99.4%  39.5  0.00011  0.000511   0.13   0.001447    0.145%
   92    99.4%  39.6  0.00011  0.000415   0.13   0.001436    0.144%
   93    99.4%  39.6  0.00011  0.000447   0.13   0.001426    0.143%
   94    99.4%  39.6  0.00011  0.000469   0.13   0.001415    0.142%
   95    99.4%  39.6  0.00011  0.000509   0.13   0.001406    0.141%
   96    99.4%  39.5  0.00011  0.000558   0.13   0.001397    0.140%
   97    99.4%  39.5  0.00011  0.000566   0.13   0.001389    0.139%
   98    99.4%  39.5  0.00011  0.000570   0.14   0.001380    0.138%
   99    99.4%  39.5  0.00011  0.000591   0.14   0.001372    0.137%
  100    99.4%  39.4  0.00012  0.000686   0.14   0.001365    0.137%
  101    99.4%  39.3  0.00012  0.000760   0.14   0.001359    0.136%
  102    99.4%  39.3  0.00012  0.000733   0.14   0.001353    0.135%
  103    99.4%  39.4  0.00011  0.000648   0.14   0.001346    0.135%
  104    99.4%  39.5  0.00011  0.000598   0.14   0.001339    0.134%
  105    99.4%  39.3  0.00012  0.000780   0.14   0.001334    0.133%
  106    99.4%  39.3  0.00012  0.000709   0.14   0.001328    0.133%
  107    99.4%  39.5  0.00011  0.000570   0.14   0.001321    0.132%
  108    99.4%  39.4  0.00011  0.000692   0.14   0.001315    0.132%
  109    99.4%  39.3  0.00012  0.000777   0.14   0.001310    0.131%
  110    99.4%  39.3  0.00012  0.000707   0.14   0.001305    0.130%
  111    99.4%  39.3  0.00012  0.000741   0.14   0.001300    0.130%
  112    99.4%  39.5  0.00011  0.000594   0.14   0.001293    0.129%
  113    99.4%  39.4  0.00012  0.000672   0.15   0.001288    0.129%
  114    99.4%  39.1  0.00012  0.000761   0.15   0.001283    0.128%
  115    99.4%  39.0  0.00013  0.001050   0.15   0.001281    0.128%
  116    99.4%  39.3  0.00012  0.000762   0.15   0.001277    0.128%
  117    99.4%  39.3  0.00012  0.000773   0.15   0.001272    0.127%
  118    99.4%  39.4  0.00011  0.000658   0.15   0.001267    0.127%
  119    99.4%  39.5  0.00011  0.000606   0.15   0.001262    0.126%
  120    99.4%  39.4  0.00012  0.000674   0.15   0.001257    0.126%
  121    99.4%  39.4  0.00012  0.000658   0.15   0.001252    0.125%
  122    99.4%  38.9  0.00013  0.000975   0.15   0.001250    0.125%
  123    99.4%  39.5  0.00011  0.000550   0.15   0.001244    0.124%
  124    99.4%  39.5  0.00011  0.000602   0.15   0.001239    0.124%
  125    99.4%  39.4  0.00012  0.000692   0.15   0.001234    0.123%
  126    99.4%  39.2  0.00012  0.000816   0.16   0.001231    0.123%
  127    99.4%  39.4  0.00011  0.000675   0.16   0.001227    0.123%
  128    99.4%  39.5  0.00011  0.000618   0.16   0.001222    0.122%
  129    99.4%  39.5  0.00011  0.000578   0.16   0.001217    0.122%
